mp_id,full_name,post_name,unit_name,post_title
15733,Івахів Степан Петрович,Член групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків із Республікою Словенія,Член групи з міжпарламентських зв'язків з Республікою Словенія
15733,Івахів Степан Петрович,Член групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків із Канадою,Член групи з міжпарламентських зв'язків з Канадою
15733,Івахів Степан Петрович,Член групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків із Королівством Швеція,Член групи з міжпарламентських зв'язків з Королівством Швеція
15733,Івахів Степан Петрович,Член групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків із Чеською Республікою,Член групи з міжпарламентських зв'язків з Чеською Республікою
18055,Івченко Вадим Євгенович,Член депутатської фракції,"Фракція політичної партії Всеукраїнське об'єднання ""Батьківщина"" у Верховній Раді України дев'ятого скликання","Член депутатської фракції політичної партії Всеукраїнське об'єднання ""Батьківщина"" у Верховній Раді України дев'ятого скликання"
18055,Івченко Вадим Євгенович,Член Комітету Верховної Ради України,Комітет Верховної Ради України з питань аграрної та земельної політики,Член Комітету Верховної Ради України з питань аграрної та земельної політики
18055,Івченко Вадим Євгенович,Заступник члена Постійної делегації в міжпарламентській організації,Постійна делегація у Парламентській асамблеї Організації Чорноморського економічного співробітництва,Заступник члена Постійної делегації у Парламентській асамблеї Організації Чорноморського економічного співробітництва
18055,Івченко Вадим Євгенович,Член групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків із Грузією,Член групи з міжпарламентських зв'язків з Грузією
18055,Івченко Вадим Євгенович,Член групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків із Французькою Республікою,Член групи з міжпарламентських зв'язків з Французькою Республікою
18055,Івченко Вадим Євгенович,Член групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків з Об'єднаними Арабськими Еміратами,Член групи з міжпарламентських зв'язків з Об'єднаними Арабськими Еміратами
18055,Івченко Вадим Євгенович,Член групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків із Сполученим Королівством Великої Британії та Північної Ірландії,Член групи з міжпарламентських зв'язків з Сполученим Королівством Великої Британії та Північної Ірландії
18055,Івченко Вадим Євгенович,Член групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків з Азербайджанською Республікою,Член групи з міжпарламентських зв'язків з Азербайджанською Республікою
15672,Іонова Марія Миколаївна,Член депутатської фракції,"Фракція ПОЛІТИЧНОЇ ПАРТІЇ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""","Член депутатської фракції ПОЛІТИЧНОЇ ПАРТІЇ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"""
15672,Іонова Марія Миколаївна,Голова підкомітету Комітету Верховної Ради України,Підкомітет з питань законодавчого забезпечення реалізації закріпленого в Конституції України стратегічного курсу держави на набуття повноправного членства в ЄС та НАТО Комітету Верховної Ради України з питань зовнішньої політики та міжпарламентського співробітництва,Голова підкомітету з питань законодавчого забезпечення реалізації закріпленого в Конституції України стратегічного курсу держави на набуття повноправного членства в ЄС та НАТО Комітету Верховної Ради України з питань зовнішньої політики та міжпарламентського співробітництва
15672,Іонова Марія Миколаївна,Заступник співголови групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків із Канадою,Заступник співголови групи з міжпарламентських зв'язків з Канадою
15672,Іонова Марія Миколаївна,Член групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків з Італійською Республікою,Член групи з міжпарламентських зв'язків з Італійською Республікою
15672,Іонова Марія Миколаївна,Член групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків із Сполученим Королівством Великої Британії та Північної Ірландії,Член групи з міжпарламентських зв'язків з Сполученим Королівством Великої Британії та Північної Ірландії
15672,Іонова Марія Миколаївна,Заступник члена Української частини в міжпарламентській організації,Українська частина Парламентського комітету Української частини Парламентського комітету асоціації,Заступник члена Української частини Парламентського комітету Української частини Парламентського комітету асоціації
15672,Іонова Марія Миколаївна,Член групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків із Королівством Швеція,Член групи з міжпарламентських зв'язків з Королівством Швеція
15672,Іонова Марія Миколаївна,Член групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків із Турецькою Республікою,Член групи з міжпарламентських зв'язків з Турецькою Республікою
15672,Іонова Марія Миколаївна,Член групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків із Французькою Республікою,Член групи з міжпарламентських зв'язків з Французькою Республікою
21113,Іонушас Сергій Костянтинович,Член депутатської фракції,"Фракція ПОЛІТИЧНОЇ ПАРТІЇ ""СЛУГА НАРОДУ""","Член депутатської фракції ПОЛІТИЧНОЇ ПАРТІЇ ""СЛУГА НАРОДУ"""
21113,Іонушас Сергій Костянтинович,Заступник голови Комітету Верховної Ради України,Комітет Верховної Ради України з питань правоохоронної діяльності,Заступник голови Комітету Верховної Ради України з питань правоохоронної діяльності
21113,Іонушас Сергій Костянтинович,Заступник співголови групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків з Італійською Республікою,Заступник співголови групи з міжпарламентських зв'язків з Італійською Республікою
21113,Іонушас Сергій Костянтинович,Член групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків із Республікою Вірменія,Член групи з міжпарламентських зв'язків з Республікою Вірменія
21113,Іонушас Сергій Костянтинович,Заступник співголови групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків із Литовською Республікою,Заступник співголови групи з міжпарламентських зв'язків з Литовською Республікою
21113,Іонушас Сергій Костянтинович,Член групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків із Республікою Казахстан,Член групи з міжпарламентських зв'язків з Республікою Казахстан
21113,Іонушас Сергій Костянтинович,Заступник співголови групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків із Швейцарською Конфедерацією,Заступник співголови групи з міжпарламентських зв'язків з Швейцарською Конфедерацією
21113,Іонушас Сергій Костянтинович,Заступник керівника групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків із Сполученими Штатами Америки,Заступник керівника групи з міжпарламентських зв'язків з Сполученими Штатами Америки
793,Іоффе Юлій Якович,Заступник голови Комітету Верховної Ради України,Комітет Верховної Ради України з питань енергетики та житлово-комунальних послуг,Заступник голови Комітету Верховної Ради України з питань енергетики та житлово-комунальних послуг
793,Іоффе Юлій Якович,Член депутатської фракції,"Фракція Політичної партії ""ОПОЗИЦІЙНА ПЛАТФОРМА - ЗА ЖИТТЯ"" у Верховній Раді України","Член депутатської фракції Політичної партії ""ОПОЗИЦІЙНА ПЛАТФОРМА - ЗА ЖИТТЯ"" у Верховній Раді України"
793,Іоффе Юлій Якович,Член групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків із Сполученим Королівством Великої Британії та Північної Ірландії,Член групи з міжпарламентських зв'язків з Сполученим Королівством Великої Британії та Північної Ірландії
793,Іоффе Юлій Якович,Член групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків із Сполученими Штатами Америки,Член групи з міжпарламентських зв'язків з Сполученими Штатами Америки
793,Іоффе Юлій Якович,Член Виконавчого комітету в міжпарламентській організації,Виконавчий комітет Національної парламентської групи в Міжпарламентському Союзі,Член Виконавчого комітету Національної парламентської групи в Міжпарламентському Союзі
793,Іоффе Юлій Якович,Член групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків із Державою Ізраїль,Член групи з міжпарламентських зв'язків з Державою Ізраїль
